"Weaves","Land","Range","City","Town","Explorer","Dahan","Type","Gathers to","Island Idx"
"ğŸ˜R4","p7",1,1,1,1,,"mountain","r4","A"
,"p4",1,,1,,1,"jungle","r4","A"
,"q7",1,,,,,"wetlands","r4","A"
,"q8",1,,1,,,"sand","r4","A"
,"r2",1,1,,,,"sand","r4","A"
,"r3",1,1,1,1,2,"mountain","r4","A"
,"r5",1,,,,3,"wetlands","r4","A"
,"r7",1,2,3,2,,"mountain","r4","A"
,"p1",2,,,,1,"wetlands","p4","A"
,"p2",2,1,2,2,,"mountain","p4","A"
,"p3",2,,,,3,"sand","r7","A"
,"p5",2,,,,,"sand","p7","A"
,"p6",2,,2,1,,"wetlands","p7","A"
,"p8",2,,1,,1,"jungle","p7","A"
,"q4",2,1,2,2,,"mountain","q7","A"
,"q5",2,,1,2,1,"jungle","q8","A"
,"q6",2,1,1,2,2,"mountain","q8","A"
,"r1",2,1,1,,,"jungle","r2","A"
,"r6",2,,,,1,"sand","r7","A"
,"r8",2,,,1,,"wetlands","r7","A"
,"s1",2,1,1,1,2,"mountain","q8","A"
"ğŸ‡²ğŸ‡º R5","r1",1,1,5,,,"mountain","r5","B"
,"r4",1,,4,,,"sand","r5","B"
,"r6",1,1,5,2,1,"mountain","r5","B"
,"r7",1,,4,,2,"sand","r5","B"
,"r8",1,1,5,1,,"jungle","r5","B"
,"s4",1,,2,,,"jungle","r5","B"
,"s7",1,,2,,,"mountain","r5","B"
,"q3",2,1,5,1,,"mountain","r1","B"
,"q4",2,,4,,,"jungle","r8","B"
,"r2",2,2,5,1,,"wetlands","r4","B"
,"r3",2,2,5,,,"jungle","r4","B"
,"s2",2,2,2,,,"sand","s4","B"
,"s3",2,1,5,1,1,"mountain","s4","B"
,"s5",2,,5,1,,"wetlands","s4","B"
,"s6",2,,,,,"sand","s7","B"
,"s8",2,,5,1,,"wetlands","s7","B"
,"t6",2,,4,,,"sand","s4","B"
,"t8",2,,4,1,,"wetlands","s4","B"
"ğŸª Q5","q1",1,,4,,1,"sand","q5","C"
,"q2",1,2,5,,,"jungle","q5","C"
,"q4",1,,,,,"mountain","q5","C"
,"q6",1,1,4,2,3,"mountain","q5","C"
,"q8",1,,4,,,"sand","q5","C"
,"q3",2,,4,,1,"wetlands","q2","C"
,"q7",2,,4,1,,"wetlands","q8","C"
,"r6",2,,3,1,,"wetlands","q4","C"
,"r8",2,,3,,,"jungle","q4","C"
"ğŸª S4","r4",1,,3,,3,"jungle","s4","D"
,"r7",1,1,5,,,"mountain","s4","D"
,"s3",1,,1,1,1,"sand","s4","D"
,"s5",1,,3,,,"jungle","s4","D"
,"s7",1,,5,1,,"wetlands","s4","D"
,"t6",1,,2,,2,"mountain","s4","D"
,"t8",1,,3,,,"jungle","s4","D"
,"r1",2,,4,,1,"wetlands","r4","D"
,"r2",2,3,5,1,,"mountain","r4","D"
,"r3",2,,4,,2,"sand","s7","D"
,"r5",2,,4,1,,"sand","r7","D"
,"s2",2,2,4,,,"sand","s5","D"
,"s6",2,,4,1,2,"wetlands","s5","D"
,"s8",2,,4,,2,"sand","s7","D"
,"t1",2,1,5,1,,"mountain","s3","D"
,"t5",2,,4,2,,"wetlands","t8","D"
,"t7",2,,4,,,"sand","t8","D"
"ğŸ’– S7","s4",1,1,2,1,,"mountain","s7","E"
,"s5",1,,2,1,,"jungle","s7","E"
,"s6",1,,,,2,"wetlands","s7","E"
,"s8",1,,,,3,"sand","s7","E"
,"t3",1,,,,1,"wetlands","s7","E"
,"t4",1,1,2,2,,"mountain","s7","E"
,"t7",1,,,,,"wetlands","s7","E"
,"q1",2,1,2,,,"mountain","s8","E"
,"q6",2,1,2,3,,"mountain","s8","E"
,"s1",2,1,1,,,"jungle","s8","E"
,"s2",2,1,,,,"sand","s5","E"
,"s3",2,1,2,1,,"mountain","s5","E"
,"t2",2,1,2,,,"jungle","t4","E"
,"t5",2,,2,1,,"jungle","t4","E"
,"t8",2,,1,,,"sand","t4","E"
,"u3",2,,,,2,"sand","t7","E"
,"u4",2,,2,1,,"jungle","t7","E"
,"u7",2,1,1,1,5,"mountain","s4","E"
"âš¡S8","q1",1,1,2,,,"mountain","s8","F"
,"s4",1,1,2,2,,"mountain","s8","F"
,"s5",1,,,,,"jungle","s8","F"
,"s6",1,,,,,"mountain","s8","F"
,"s7",1,,,,,"wetlands","s8","F"
,"t3",1,1,1,1,1,"mountain","s8","F"
,"t4",1,1,2,2,2,"mountain","s8","F"
,"q2",2,1,1,,1,"wetlands","q1","F"
,"q4",2,,,,,"sand","q1","F"
,"q5",2,,,1,,"wetlands","q1","F"
,"q6",2,1,1,3,,"mountain","q1","F"
,"q8",2,,1,,1,"jungle","s6","F"
,"s1",2,,4,3,2,"sand","s6","F"
,"s2",2,,1,,1,"jungle","s4","F"
,"s3",2,,,,1,"wetlands","s4","F"
,"t2",2,1,,,,"sand","t3","F"
,"t5",2,,2,1,,"jungle","t3","F"
,"t7",2,,1,1,,"wetlands","t4","F"
,"u4",2,,,,,"jungle","s7","F"
,"u7",2,2,3,2,,"mountain","s4","F"
,"u8",2,,,1,,"wetlands","s4","F"
"Total",,167,49,226,64,61,,,
"Average",,27.8,8.2,37.7,10.7,10.2,,,
